date,close,open,high,low,volume
2015-01-02,0.59,0.57,0.59,0.57,16000.0
2015-01-05,0.54,0.57,0.57,0.53,147900.0
2015-01-06,0.545,0.55,0.55,0.54,68100.0
2015-01-07,0.55,0.55,0.55,0.55,24000.0
2015-01-08,0.55,0.56,0.56,0.55,16000.0
2015-01-13,0.6,0.59,0.6,0.58,77500.0
2015-01-14,0.6,0.6,0.6,0.6,35000.0
2015-01-15,0.605,0.595,0.605,0.585,132900.0
2015-01-16,0.6,0.62,0.62,0.6,4100.0
2015-01-19,0.605,0.62,0.62,0.605,56000.0
2015-01-20,0.605,0.6,0.61,0.6,111000.0
2015-01-21,0.6,0.605,0.605,0.59,121300.0
2015-01-22,0.53,0.58,0.58,0.53,12000.0
2015-01-26,0.54,0.54,0.54,0.54,1000.0
2015-01-27,0.57,0.56,0.57,0.56,8000.0
2015-01-28,0.565,0.565,0.565,0.565,14000.0
2015-01-30,0.56,0.56,0.56,0.56,10000.0
2015-02-05,0.57,0.57,0.57,0.57,2000.0
2015-02-06,0.56,0.56,0.56,0.56,10600.0
2015-02-13,0.565,0.565,0.57,0.565,13000.0
2015-02-16,0.58,0.58,0.58,0.58,1700.0
2015-02-18,0.58,0.58,0.58,0.58,1500.0
2015-02-25,0.59,0.58,0.59,0.58,50000.0
2015-02-26,0.58,0.58,0.58,0.58,7000.0
2015-02-27,0.6,0.59,0.6,0.59,100000.0
2015-03-02,0.595,0.6,0.6,0.595,34000.0
2015-03-03,0.58,0.59,0.59,0.58,12000.0
2015-03-04,0.58,0.58,0.58,0.58,10000.0
2015-03-05,0.57,0.57,0.57,0.57,10000.0
2015-03-06,0.6,0.57,0.6,0.57,1000.0
2015-03-09,0.6,0.6,0.6,0.6,500.0
2015-03-11,0.6,0.6,0.6,0.6,3000.0
2015-03-12,0.58,0.58,0.58,0.58,23000.0
2015-03-16,0.58,0.58,0.58,0.58,20000.0
2015-03-17,0.6,0.6,0.6,0.6,15000.0
2015-03-18,0.6,0.58,0.6,0.57,66300.0
2015-03-19,0.6,0.585,0.6,0.585,36000.0
2015-03-20,0.6,0.6,0.6,0.6,29000.0
2015-03-23,0.59,0.6,0.6,0.585,53700.0
2015-03-24,0.6,0.6,0.61,0.6,51000.0
2015-03-25,0.675,0.61,0.68,0.61,1230000.0
2015-03-26,0.64,0.675,0.705,0.635,1320000.0
2015-03-27,0.665,0.645,0.68,0.645,439500.0
2015-03-30,0.665,0.655,0.675,0.65,190400.0
2015-03-31,0.715,0.67,0.735,0.67,1890000.0
2015-04-01,0.705,0.725,0.725,0.7,261500.0
2015-04-02,0.715,0.7,0.715,0.7,253900.0
2015-04-03,0.71,0.715,0.72,0.71,155200.0
2015-04-06,0.71,0.71,0.715,0.7,215900.0
2015-04-07,0.755,0.71,0.755,0.71,868200.0
2015-04-08,0.745,0.755,0.765,0.72,310400.0
2015-04-09,0.745,0.745,0.745,0.735,122000.0
2015-04-10,0.755,0.745,0.755,0.74,223900.0
2015-04-13,0.775,0.75,0.775,0.745,454000.0
2015-04-14,0.785,0.78,0.79,0.775,373800.0
2015-04-15,0.8,0.795,0.81,0.79,530200.0
2015-04-16,0.78,0.8,0.81,0.78,485100.0
2015-04-17,0.77,0.78,0.78,0.765,123200.0
2015-04-20,0.77,0.77,0.77,0.77,21300.0
2015-04-21,0.775,0.785,0.785,0.775,115500.0
2015-04-22,0.775,0.77,0.775,0.77,98900.0
2015-04-23,0.77,0.785,0.785,0.77,15000.0
2015-04-24,0.77,0.77,0.77,0.77,71100.0
2015-04-27,0.76,0.77,0.775,0.76,65000.0
2015-04-28,0.76,0.76,0.76,0.75,82000.0
2015-04-29,0.76,0.78,0.78,0.76,21700.0
2015-04-30,0.74,0.76,0.76,0.74,65000.0
2015-05-05,0.745,0.735,0.75,0.735,34000.0
2015-05-06,0.745,0.755,0.755,0.735,33800.0
2015-05-08,0.755,0.745,0.755,0.745,38000.0
2015-05-11,0.765,0.76,0.765,0.75,9600.0
2015-05-12,0.755,0.745,0.755,0.745,19500.0
2015-05-13,0.75,0.755,0.755,0.75,5000.0
2015-05-14,0.76,0.75,0.76,0.75,20000.0
2015-05-15,0.75,0.75,0.75,0.75,18000.0
2015-05-18,0.77,0.745,0.77,0.745,80100.0
2015-05-19,0.76,0.77,0.77,0.76,45600.0
2015-05-20,0.77,0.76,0.77,0.755,76000.0
2015-05-21,0.76,0.765,0.77,0.76,37000.0
2015-05-22,0.755,0.76,0.76,0.755,107000.0
2015-05-25,0.725,0.755,0.755,0.72,48000.0
2015-05-26,0.74,0.725,0.74,0.725,67900.0
2015-05-27,0.74,0.74,0.74,0.74,25000.0
2015-05-29,0.735,0.735,0.735,0.735,48000.0
2015-06-01,0.75,0.75,0.75,0.75,5000.0
2015-06-02,0.75,0.75,0.75,0.74,19000.0
2015-06-03,0.755,0.74,0.755,0.74,92000.0
2015-06-04,0.72,0.7,0.72,0.7,48000.0
2015-06-08,0.7,0.705,0.705,0.7,15000.0
2015-06-09,0.69,0.7,0.7,0.69,27000.0
2015-06-10,0.7,0.7,0.7,0.7,25000.0
2015-06-11,0.7,0.71,0.71,0.7,79000.0
2015-06-15,0.68,0.69,0.7,0.68,100500.0
2015-06-16,0.69,0.67,0.69,0.67,16600.0
2015-06-17,0.69,0.69,0.69,0.69,15000.0
2015-06-19,0.675,0.675,0.675,0.675,400.0
