date,close,open,high,low,volume
2015-01-02,2.05,2.09,2.09,2.05,15000.0
2015-01-05,1.95,2.02,2.04,1.95,25000.0
2015-01-06,1.95,1.95,1.95,1.95,3000.0
2015-01-07,1.92,1.95,1.95,1.92,21500.0
2015-01-08,1.95,1.95,1.95,1.95,4000.0
2015-01-09,1.95,1.95,1.96,1.95,18000.0
2015-01-12,2.0,1.95,2.0,1.95,25000.0
2015-01-13,2.0,1.99,2.0,1.99,29500.0
2015-01-14,2.0,2.0,2.0,1.97,20600.0
2015-01-15,2.03,2.0,2.05,2.0,38200.0
2015-01-16,2.06,2.06,2.06,2.02,41200.0
2015-01-19,2.07,2.05,2.07,2.05,29600.0
2015-01-20,2.07,2.07,2.07,2.07,10100.0
2015-01-21,2.08,2.07,2.1,2.07,11000.0
2015-01-22,2.11,2.05,2.15,2.05,26100.0
2015-01-23,2.11,2.1,2.11,2.1,22500.0
2015-01-26,2.1,2.07,2.1,2.07,5300.0
2015-01-27,2.1,2.1,2.1,2.1,13700.0
2015-01-28,2.08,2.1,2.11,2.08,73600.0
2015-01-29,2.07,2.01,2.08,2.01,34000.0
2015-01-30,2.07,2.07,2.07,2.07,26100.0
2015-02-04,2.08,2.02,2.14,2.0,22100.0
2015-02-05,2.11,2.11,2.11,2.11,400.0
2015-02-06,2.1,2.11,2.11,2.08,27700.0
2015-02-10,2.08,2.1,2.1,2.07,8200.0
2015-02-11,2.08,2.08,2.08,2.08,26900.0
2015-02-12,2.14,2.12,2.15,2.12,26100.0
2015-02-13,2.25,2.16,2.25,2.15,14800.0
2015-02-16,2.25,2.25,2.25,2.25,8900.0
2015-02-17,2.25,2.22,2.25,2.22,5100.0
2015-02-23,2.22,2.21,2.22,2.21,11000.0
2015-02-24,2.25,2.2,2.25,2.2,8100.0
2015-02-26,2.13,2.1,2.14,2.1,128100.0
2015-02-27,2.08,2.1,2.13,2.06,52600.0
2015-03-02,2.06,2.06,2.06,2.06,38500.0
2015-03-03,2.1,2.07,2.1,2.07,40500.0
2015-03-04,2.06,2.07,2.07,2.06,27000.0
2015-03-05,2.06,2.07,2.07,2.05,57500.0
2015-03-06,2.04,2.05,2.05,2.04,4500.0
2015-03-09,2.03,2.04,2.04,2.02,27000.0
2015-03-10,2.02,2.03,2.04,2.02,48700.0
2015-03-12,2.03,2.03,2.03,2.03,5000.0
2015-03-13,2.04,2.04,2.04,2.04,6000.0
2015-03-16,2.03,2.05,2.05,2.03,50000.0
2015-03-17,2.04,2.04,2.04,2.04,35500.0
2015-03-18,2.1,2.08,2.1,2.08,3100.0
2015-03-19,2.1,2.05,2.12,2.05,145700.0
2015-03-20,2.09,2.1,2.1,2.09,10500.0
2015-03-23,2.07,2.07,2.08,2.06,48000.0
2015-03-24,2.07,2.1,2.1,2.07,46000.0
2015-03-25,2.08,2.07,2.08,2.07,41500.0
2015-03-26,2.07,2.08,2.08,2.07,64800.0
2015-03-27,2.08,2.07,2.08,2.07,30000.0
2015-03-30,2.08,2.08,2.08,2.08,13000.0
2015-03-31,2.08,2.08,2.08,2.07,13800.0
2015-04-01,2.07,2.08,2.08,2.07,69800.0
2015-04-02,2.07,2.07,2.07,2.07,15000.0
2015-04-03,2.07,2.03,2.07,2.0,88500.0
2015-04-06,2.04,2.03,2.04,2.03,11000.0
