date,close,open,high,low,volume
2015-01-02,1.32,1.32,1.33,1.32,24100.0
2015-01-05,1.33,1.33,1.33,1.33,5000.0
2015-01-06,1.3,1.31,1.31,1.3,16300.0
2015-01-07,1.3,1.3,1.3,1.3,20000.0
2015-01-08,1.32,1.32,1.34,1.32,29400.0
2015-01-09,1.32,1.32,1.32,1.32,20000.0
2015-01-12,1.33,1.31,1.33,1.3,14000.0
2015-01-13,1.33,1.33,1.33,1.33,31000.0
2015-01-14,1.36,1.34,1.36,1.34,68200.0
2015-01-15,1.36,1.37,1.37,1.35,45600.0
2015-01-16,1.37,1.37,1.37,1.36,139700.0
2015-01-19,1.37,1.37,1.37,1.36,116000.0
2015-01-20,1.36,1.35,1.37,1.35,103600.0
2015-01-21,1.35,1.35,1.35,1.34,34000.0
2015-01-22,1.34,1.35,1.35,1.34,115000.0
2015-01-23,1.35,1.33,1.35,1.33,40200.0
2015-01-26,1.36,1.34,1.36,1.34,113500.0
2015-01-27,1.37,1.36,1.37,1.36,94900.0
2015-01-28,1.37,1.36,1.37,1.36,12400.0
2015-01-29,1.37,1.36,1.37,1.36,105000.0
2015-01-30,1.36,1.36,1.37,1.36,70000.0
2015-02-04,1.37,1.36,1.37,1.36,87200.0
2015-02-05,1.38,1.37,1.38,1.36,107100.0
2015-02-06,1.38,1.37,1.38,1.36,35700.0
2015-02-09,1.37,1.37,1.39,1.36,88500.0
2015-02-10,1.36,1.37,1.39,1.36,95000.0
2015-02-11,1.37,1.36,1.37,1.36,45500.0
2015-02-12,1.37,1.36,1.37,1.36,118700.0
2015-02-13,1.38,1.38,1.38,1.38,22300.0
2015-02-16,1.39,1.39,1.39,1.39,31000.0
2015-02-17,1.37,1.37,1.37,1.37,200.0
2015-02-18,1.39,1.39,1.39,1.39,30000.0
2015-02-23,1.37,1.37,1.37,1.37,11000.0
2015-02-24,1.37,1.38,1.38,1.37,101100.0
2015-02-25,1.38,1.38,1.38,1.38,52500.0
2015-02-26,1.43,1.39,1.45,1.39,330400.0
