date,close,open,high,low,volume
2015-01-02,0.141,0.141,0.141,0.141,200700.0
2015-01-05,0.141,0.141,0.145,0.141,235100.0
2015-01-06,0.136,0.141,0.141,0.136,375100.0
2015-01-07,0.141,0.141,0.141,0.141,1000.0
2015-01-08,0.136,0.136,0.145,0.136,119400.0
2015-01-09,0.141,0.141,0.145,0.141,229200.0
2015-01-12,0.141,0.141,0.141,0.141,137900.0
2015-01-13,0.141,0.141,0.141,0.136,447200.0
2015-01-14,0.145,0.136,0.145,0.136,949100.0
2015-01-15,0.15,0.145,0.155,0.145,1650000.0
2015-01-16,0.155,0.15,0.155,0.15,404200.0
2015-01-19,0.159,0.155,0.159,0.155,1480000.0
2015-01-20,0.155,0.159,0.159,0.155,496300.0
2015-01-21,0.155,0.155,0.155,0.155,264900.0
2015-01-22,0.155,0.155,0.159,0.15,361600.0
2015-01-23,0.155,0.155,0.155,0.15,1160000.0
2015-01-26,0.15,0.15,0.15,0.15,354000.0
2015-01-27,0.15,0.15,0.155,0.145,285800.0
2015-01-28,0.15,0.15,0.15,0.145,524000.0
2015-01-29,0.141,0.145,0.145,0.141,977100.0
2015-01-30,0.145,0.145,0.145,0.141,580600.0
2015-02-04,0.145,0.145,0.145,0.141,662400.0
2015-02-05,0.141,0.141,0.141,0.136,811300.0
2015-02-06,0.141,0.141,0.141,0.141,225500.0
2015-02-09,0.141,0.141,0.141,0.136,300300.0
2015-02-10,0.145,0.141,0.15,0.136,1180000.0
2015-02-11,0.141,0.141,0.141,0.136,1160000.0
2015-02-12,0.141,0.141,0.145,0.141,412300.0
2015-02-13,0.141,0.141,0.145,0.141,1900000.0
2015-02-16,0.141,0.141,0.15,0.141,2390000.0
2015-02-17,0.145,0.145,0.15,0.141,1680000.0
2015-02-18,0.141,0.141,0.141,0.141,72500.0
2015-02-23,0.141,0.141,0.141,0.141,416600.0
2015-02-24,0.136,0.141,0.141,0.136,510600.0
2015-02-25,0.136,0.141,0.141,0.136,1600000.0
2015-02-26,0.141,0.141,0.141,0.136,2850000.0
2015-02-27,0.15,0.15,0.155,0.145,7760000.0
2015-03-02,0.145,0.155,0.155,0.145,822600.0
2015-03-03,0.141,0.145,0.15,0.141,1590000.0
2015-03-04,0.15,0.145,0.15,0.145,2390000.0
2015-03-05,0.141,0.15,0.15,0.141,1450000.0
2015-03-06,0.141,0.141,0.145,0.141,296700.0
2015-03-09,0.141,0.141,0.141,0.141,688700.0
2015-03-10,0.141,0.141,0.141,0.136,900500.0
2015-03-11,0.141,0.141,0.145,0.141,359300.0
2015-03-12,0.15,0.141,0.15,0.141,1980000.0
2015-03-13,0.159,0.145,0.16899999999999998,0.145,15120000.0
2015-03-16,0.155,0.159,0.159,0.155,1560000.0
2015-03-17,0.15,0.155,0.155,0.15,473100.0
2015-03-18,0.145,0.15,0.155,0.145,1460000.0
2015-03-19,0.15,0.15,0.155,0.145,2620000.0
2015-03-20,0.155,0.15,0.155,0.145,1310000.0
2015-03-23,0.15,0.15,0.15,0.145,620800.0
2015-03-24,0.145,0.15,0.15,0.145,1270000.0
2015-03-25,0.16399999999999998,0.15,0.173,0.15,19590000.0
2015-03-26,0.16399999999999998,0.159,0.173,0.159,11310000.0
2015-03-27,0.159,0.159,0.16399999999999998,0.159,1680000.0
2015-03-30,0.16399999999999998,0.159,0.16899999999999998,0.159,3860000.0
2015-03-31,0.159,0.16399999999999998,0.16399999999999998,0.155,3480000.0
2015-04-01,0.155,0.159,0.159,0.155,1160000.0
2015-04-02,0.16399999999999998,0.155,0.16399999999999998,0.155,2590000.0
2015-04-03,0.159,0.16399999999999998,0.16399999999999998,0.159,1270000.0
2015-04-06,0.159,0.159,0.159,0.155,1530000.0
