date,close,open,high,low,volume
2015-01-02,1.483,1.483,1.483,1.483,22000.0
2015-01-05,1.463,1.483,1.483,1.463,145200.0
2015-01-06,1.443,1.443,1.443,1.433,455500.0
2015-01-07,1.443,1.463,1.463,1.433,218000.0
2015-01-08,1.414,1.443,1.443,1.414,706400.0
2015-01-09,1.394,1.423,1.423,1.384,372800.0
2015-01-12,1.374,1.394,1.394,1.354,554800.0
2015-01-13,1.394,1.374,1.404,1.374,209200.0
2015-01-14,1.433,1.404,1.443,1.394,284500.0
2015-01-15,1.404,1.453,1.463,1.404,226300.0
2015-01-16,1.374,1.404,1.423,1.374,384500.0
2015-01-19,1.354,1.404,1.404,1.354,403300.0
2015-01-20,1.414,1.374,1.414,1.364,256900.0
2015-01-21,1.394,1.414,1.433,1.394,335100.0
2015-01-22,1.443,1.394,1.443,1.374,426800.0
2015-01-23,1.404,1.453,1.483,1.404,281200.0
2015-01-26,1.404,1.404,1.404,1.374,144200.0
2015-01-27,1.394,1.404,1.423,1.394,41900.0
2015-01-28,1.404,1.384,1.423,1.384,165900.0
2015-01-29,1.404,1.404,1.414,1.404,126800.0
2015-01-30,1.433,1.414,1.443,1.404,112900.0
2015-02-04,1.443,1.443,1.453,1.423,133000.0
2015-02-05,1.423,1.433,1.433,1.414,75900.0
2015-02-06,1.503,1.433,1.503,1.433,675500.0
2015-02-09,1.493,1.5119999999999998,1.5619999999999998,1.493,642600.0
2015-02-10,1.5219999999999998,1.5219999999999998,1.5219999999999998,1.503,278200.0
2015-02-11,1.493,1.5419999999999998,1.5419999999999998,1.463,329900.0
2015-02-12,1.483,1.493,1.493,1.483,28700.0
2015-02-13,1.483,1.493,1.493,1.483,97000.0
2015-02-16,1.483,1.493,1.493,1.483,71000.0
2015-02-17,1.5119999999999998,1.493,1.5119999999999998,1.483,119300.0
2015-02-18,1.5119999999999998,1.5119999999999998,1.5219999999999998,1.5119999999999998,28500.0
2015-02-23,1.5319999999999998,1.5119999999999998,1.5319999999999998,1.483,142600.0
2015-02-24,1.5119999999999998,1.5119999999999998,1.5119999999999998,1.493,60600.0
2015-02-25,1.493,1.493,1.493,1.483,151000.0
2015-02-26,1.503,1.483,1.503,1.463,176800.0
2015-02-27,1.5119999999999998,1.503,1.5119999999999998,1.483,166900.0
2015-03-02,1.5419999999999998,1.5219999999999998,1.5419999999999998,1.5119999999999998,460500.0
