date,close,open,high,low,volume
2015-01-02,3.86,3.86,3.86,3.85,17200.0
2015-01-05,3.87,3.87,3.87,3.87,3300.0
2015-01-06,3.86,3.86,3.86,3.85,39800.0
2015-01-07,3.86,3.84,3.86,3.84,7500.0
2015-01-08,3.87,3.87,3.87,3.87,2100.0
2015-01-09,3.92,3.89,3.92,3.89,2300.0
2015-01-12,3.89,3.9,3.9,3.89,2600.0
2015-01-13,3.8,3.88,3.88,3.8,82000.0
2015-01-14,3.82,3.82,3.82,3.82,800.0
2015-01-15,3.87,3.9,3.9,3.87,6000.0
2015-01-16,3.94,3.92,3.95,3.92,8200.0
2015-01-19,3.94,3.86,3.94,3.86,3000.0
2015-01-21,3.94,3.92,3.94,3.92,5300.0
2015-01-22,3.98,3.94,4.02,3.94,42200.0
2015-01-23,4.02,3.98,4.02,3.98,3200.0
2015-01-28,3.91,3.92,3.92,3.91,10000.0
2015-01-29,3.91,3.91,3.91,3.91,2000.0
2015-01-30,4.02,3.95,4.02,3.95,10900.0
2015-02-05,4.03,4.05,4.05,4.03,8800.0
2015-02-06,4.05,4.03,4.05,4.03,5300.0
2015-02-09,4.04,4.04,4.04,4.04,2000.0
2015-02-10,4.0,4.02,4.04,3.98,11900.0
2015-02-11,3.99,4.0,4.0,3.99,7000.0
2015-02-12,4.03,4.0,4.03,4.0,20000.0
2015-02-13,4.0,4.0,4.0,4.0,2000.0
2015-02-16,3.96,3.96,3.96,3.96,900.0
2015-02-23,4.02,4.03,4.03,4.02,11000.0
2015-02-24,4.0,4.02,4.02,4.0,17500.0
2015-02-25,3.96,3.96,3.98,3.96,2200.0
2015-02-26,4.0,3.96,4.0,3.96,9200.0
2015-02-27,4.0,4.0,4.0,4.0,11000.0
2015-03-02,3.98,4.0,4.0,3.98,12000.0
2015-03-03,4.0,3.98,4.0,3.98,5500.0
2015-03-04,4.0,4.02,4.02,4.0,16500.0
2015-03-05,3.98,3.96,3.98,3.96,600.0
2015-03-06,4.03,4.02,4.03,4.0,19400.0
2015-03-09,4.04,3.99,4.04,3.98,16200.0
2015-03-10,4.04,4.04,4.06,4.04,25700.0
2015-03-11,4.05,4.0,4.05,4.0,8700.0
2015-03-12,4.05,4.05,4.05,4.05,1000.0
2015-03-13,4.11,4.07,4.15,4.07,35600.0
2015-03-17,4.27,4.27,4.27,4.27,1000.0
2015-03-19,4.21,4.2,4.21,4.16,9100.0
2015-03-20,4.16,4.16,4.16,4.16,3000.0
2015-03-24,4.24,4.13,4.24,4.13,5800.0
2015-03-26,4.26,4.2,4.26,4.16,4400.0
2015-03-27,4.28,4.26,4.28,4.25,15900.0
2015-03-30,4.3,4.28,4.3,4.28,7800.0
2015-03-31,4.29,4.3,4.3,4.29,34500.0
2015-04-02,4.28,4.22,4.28,4.22,800.0
2015-04-03,4.16,4.16,4.16,4.16,100.0
2015-04-06,4.18,4.16,4.2,4.16,8900.0
2015-04-08,4.2,4.2,4.2,4.2,7200.0
2015-04-09,4.2,4.22,4.22,4.2,5700.0
2015-04-13,4.2,4.2,4.2,4.2,400.0
2015-04-14,4.19,4.2,4.2,4.18,10200.0
2015-04-15,4.2,4.19,4.22,4.19,16500.0
2015-04-16,4.18,4.18,4.18,4.18,100.0
2015-04-17,4.18,4.18,4.18,4.12,4400.0
2015-04-20,4.1,4.1,4.1,4.1,600.0
2015-04-21,4.17,4.13,4.26,4.13,700.0
2015-04-22,4.25,4.17,4.25,4.17,6600.0
2015-04-23,4.2,4.2,4.2,4.2,5300.0
2015-04-24,4.25,4.25,4.26,4.25,20200.0
2015-04-27,4.21,4.21,4.21,4.21,200.0
