code,name,yield_sum,yield_mean
0105,Asia Poly Holdings Bhd (ASPY),24.04,4.808
2879,Chemical Company of Malaysia (CLMS),21.87,7.29
1023,Bumiputra - Commerce Holdings Bhd (CIMB),21.6,7.2
0011,Brite Tech Bhd (BECH),21.34,7.11333
1818,Bursa Malaysia Bhd (BMYS),21.3,7.1
5066,NTPM Holdings Bhd (NTPM),20.13,6.71
4863,Telekom Malaysia Bhd (TLMM),20.13,6.71
5211,Sunway Bhd (SWAY),19.99,6.66333
5027,Kim Loong Resources Bhd (KIML),19.78,6.59333
1015,AMMB Holdings Bhd (AMMB),19.56,6.52
2488,Alliance Financial Group Bhd (ALLI),19.36,6.45333
5012,Ta Ann Holdings Bhd (TAAN),18.63,6.21
1724,Paramount Corporation Bhd (PRMS),18.21,9.105
1899,Batu Kawan Bhd (BTKW),18.18,6.06
3034,Hap Seng Consolidated Bhd (HAPS),18.02,6.00667
5200,UOA Development Bhd (UOAD),17.9,5.96667
3719,Panasonic Manufacture Malaysia (PMMY),17.3,5.76667
5139,Aeon Credit Service Bhd (ANCR),17.12,5.70667
3301,Hong Leong Industries Bhd (HLIB),17.06,5.68667
5183,Petronas Chemicals Group Bhd (PCGB),17.05,5.68333
4006,Oriental Holdings Bhd (OTLS),16.77,5.59
5041,PBA Holdings Bhd (PBAH),16.61,5.53667
1295,Public Bank Bhd (PUBM),16.49,5.49667
1368,Faber Group Bhd (UEME),16.31,5.43667
2593,United Malacca Bhd (UMRS),16.09,5.36333
1155,Malayan Banking Bhd (MBBM),15.99,7.995
166,Inari Amertron Bhd (INAR),15.35,7.675
5008,Harrisons Holdings (Malaysia) (HSON),15.28,5.09333
0183,Salutica Bhd (SALU),15.24,7.62
3204,George Kent (Malaysia) Bhd (GKMS),14.83,4.94333
5140,Tasco Bhd (TASC),14.76,4.92
2836,Carlsberg Brewery Malaysia Bhd (CBMS),14.54,7.27
5138,Hap Seng Plantations Holdings Bhd (HAPP),14.48,7.24
1929,Chin Teck Plantations Bhd (CTPB),14.44,4.81333
5029,Far East Holdings Bhd (FEHS),13.86,4.62
1066,RHB Bank Bhd (RHBC),13.77,4.59
5016,Warisan TC Holdings Bhd (WATC),13.75,4.58333
4677,YTL Corporation Bhd (YTLS),13.57,4.52333
1007,Amcorp Properties Bhd (AMCO),13.55,4.51667
3336,IJM Corporation Bhd (IJMS),13.42,4.47333
5143,Luxchem Corporation Bhd (LCBH),13.36,6.68
5007,Chin Well Holdings Bhd (CWHB),12.88,6.44
3255,Heineken Bhd (HEIN),12.76,4.25333
3867,Malaysian Pacific Industries (MPIM),12.75,4.25
3689,Fraser Neave Holdings Bhd (FRAS),12.73,4.24333
5185,AFFIN Holdings Bhd (AFIN),12.72,6.36
0112,Mikro MSC Bhd (MIKB),12.6,4.2
5107,IQ Group Holdings Bhd (IQGH),12.57,6.285
0053,OSK Ventures International Bhd (OSKV),12.42,6.21
0040,OpenSys M Bhd (OPYS),12.38,4.12667
5022,Paos Holdings Bhd (PAOS),12.37,6.185
4731,Scientex Bhd (STIK),12.31,4.10333
5015,APM Automotive Holdings Bhd (APMA),12.14,6.07
5024,Hup Seng Industries Bhd (HSIB),12.14,6.07
5021,AYS Ventures Bhd (AYSV),12.06,6.03
5170,Sarawak Cable Bhd (SACB),11.96,5.98
5208,EITA Resources Bhd (EITA),11.95,5.975
2445,Kuala Lumpur Kepong Bhd (KLKK),11.88,3.96
5204,Prestariang Bhd (PSTG),11.87,5.935
1961,IOI Corporation Bhd (IOIB),11.73,3.91
5094,CSC Steel Holdings Bhd (CSTH),11.72,5.86
3298,Hexza Corporation Bhd (HXZS),11.7,5.85
3662,Malayan Flour Mills Bhd (MFMS),11.65,5.825
5159,Yoong Onn Corporation Bhd (YGON),11.61,5.805
5053,OSK Holdings Bhd (OSKH),11.52,5.76
3514,Marco Holdings Bhd (MRHB),11.51,3.83667
0090,Elsoft Research Bhd (ELSR),11.41,5.705
5171,Kimlun Corporation Bhd (KICB),11.36,3.78667
4707,Nestle (Malaysia) Bhd (NESM),11.24,5.62
1082,Hong Leong Financial Group Bhd (HLCB),11.22,3.74
0037,RGB International Bhd (RGBI),11.14,3.71333
3476,Keck Seng Malaysia Bhd (KSMS),10.98,3.66
4715,Genting Malaysia Bhd (GENM),10.52,3.50667
5192,K Seng Seng Corporation Bhd (KSSC),10.47,3.49
0186,Perak Transit Bhd (PERT),10.42,5.21
4898,TA Enterprise Bhd (TAES),10.42,3.47333
5088,Apex Equity Holdings Bhd (APES),10.4,3.46667
5100,BP Plastics Holding Bhd (BPPL),10.36,5.18
4405,Tan Chong Motor Holdings Bhd (TNCS),9.99,3.33
1198,MAA Group Bhd (MAAS),9.92,9.92
4251,I-Berhad (IBHD),9.84,3.28
3069,Mega First Corporation Bhd (MEGA),9.82,3.27333
1171,Malaysia Building Society Bhd (MBSS),9.74,3.24667
0113,MMS Ventures Bhd (MMST),9.59,3.19667
5054,TRC Synergy Bhd (TRCG),9.55,3.18333
1058,Manulife Holdings Bhd (MNLF),9.38,3.12667
0106,Rexit Bhd (REXT),9.26,4.63
0099,Scicom MSC Bhd (SCCM),9.22,9.22
5147,Samchem Holdings Bhd (SAHB),9.08,4.54
5028,HeiTech Padu Bhd (HEIT),9.01,9.01
3042,Petron Malaysia Refining Marketing (PTMR),9.01,3.00333
4065,PPB Group Bhd (PEPT),9,3
5162,ECS ICT Bhd (ECSI),8.9,4.45
5065,Ornapaper Bhd (ORPA),8.73,2.91
2135,Gopeng Bhd (GOPK),8.6,2.86667
5099,Airasia Bhd (AIRA),8.4,4.2
2224,Selangor Dredging Bhd (SDGS),8.39,2.79667
3379PA,Insas Bhd Pref (INSS_p),8.32,4.16
5133,Petra Energy Bhd (PTRE),8.31,4.155
5071,Coastal Contracts Bhd (CTAL),8.26,4.13
2038,Negri Sembilan Oil Palms Bhd (NSOS),8.25,2.75
5161,JCY International Bhd (JCYI),8.2,8.2
3026,Dutch Lady Milk Industries Bhd (DBMS),8.17,2.72333
5101,Evergreen Fibreboard Bhd (EVGN),8.15,2.71667
5001,Mieco Chipboard Bhd (MIEC),8.04,4.02
1783,Selangor Properties Bhd (SELS),8.01,2.67
5132,Deleum Bhd (DLEU),7.77,7.77
4243,WTK Holdings Bhd (WTKH),7.72,2.57333
5152,Muar Ban Lee Group Bhd (MUBL),7.72,2.57333
0178,Sedania Innovator Bhd (SEDA),7.63,3.815
5014,Malaysia Airport Holdings Bhd (MAHB),7.61,2.53667
5005,Unisem M Bhd (UNSM),7.54,3.77
35,OPCOM Holdings Bhd (OPCM),7.54,3.77
5125,Pantech Group Holdings Bhd (PNTE),7.52,7.52
0108,N2N Connect Bhd (NNCB),7.47,2.49
2089,United Plantations Bhd (UTPS),7.25,2.41667
2194,MMC Corporation Bhd (MMCB),7.04,2.34667
4634,POS Malaysia&Services Holdings Bhd (PSHL),7.04,2.34667
5062,Hua Yang Bhd (HUAY),7.03,7.03
1538,Symphony Life Bhd (SYML),6.88,3.44
5032,Bintulu Port Holdings Bhd (BPOT),6.77,6.77
2828,CI Holdings Bhd (CIHB),6.71,3.355
0158,SCC Holdings Bhd (SCCH),6.67,6.67
1651,Malaysian Resources Corporation (MYRS),6.59,2.19667
2216,IJM Plantations Bhd (IJMP),6.59,2.19667
5081,Esthetics International Group (ESTH),6.45,6.45
168,Boilermech Holdings Bhd (BOIL),6.43,2.14333
3107,Fima Corporation Bhd (FIMA),6.38,6.38
0028,Scope Industries Bhd (SCPE),6.36,3.18
5026,MHC Plantations Bhd (MHCP),6.34,2.11333
2291,Genting Plantations Bhd (GENP),6.33,2.11
5184,Cypark Resources Berhad (CYPR),6.31,2.10333
5168,Hartalega Holdings Bhd (HTHB),6.26,3.13
4197,Sime Darby Bhd (SIME),6.2,6.2
2542,Riverview Rubber Estates Bhd (RVWL),5.99,2.995
5222,Felda Global Ventures Holdings Bhd (FGVH),5.98,2.99
2054,TDM Bhd (TDMS),5.95,1.98333
5129,Melati Ehsan Holdings Bhd (MEHB),5.93,1.97667
5090,Media Chinese International Ltd (MDCH),5.9,5.9
4448,Tasek Corporation Bhd (TKCS),5.85,5.85
2,Kotra Industries Bhd (KOIN),5.8,2.9
5070,Protasco Bhd (PRTO),5.77,5.77
5075,Plenitude Bhd (PLET),5.76,2.88
0023,IFCA MSC Bhd (IFCA),5.76,1.92
5080,Poh Kong Holdings Bhd (POHK),5.71,1.90333
3182,Genting Bhd (GENT),5.67,1.89
4456,Dagang Nexchange Bhd (DNEX),5.64,2.82
5031,TIME Dotcom Bhd (TCOM),5.5,1.83333
2658,Ajinomoto Malaysia Bhd (AJIN),5.46,1.82
3883,Muda Holdings Bhd (MUDA),5.16,1.72
5112,TH Plantations Bhd (THPB),5.14,5.14
5160,Homeritz Corporation Bhd (HOME),5.11,5.11
2062,Harbour Link Group Bhd (HARR),5.05,2.525
4944,Nylex (Malaysia) Bhd (NMBS),5.02,2.51
0084,Techfast Holdings Bhd (TCHF),5.02,1.67333
2852,Cahya Mata Sarawak Bhd (CMSM),4.95,1.65
5102,Guan Chong Bhd (GNCH),4.86,1.62
1481,Advance Synergy Bhd (ADVA),4.84,1.61333
5126,Sarawak Oil Palms Bhd (SOPS),4.7,1.56667
2984,FACB Industries Incorporated (FACN),4.69,2.345
5181,SIG Gases Bhd (SIGS),4.45,1.48333
0100,ES Ceramics Technology Bhd (ESCM),4.44,2.22
5011,Mesiniaga Bhd (MNGA),4.42,4.42
5158,TA Global Bhd (TAGL),4.39,1.46333
5105,Can One Bhd (CNON),4.37,1.45667
138,MY EG Services Bhd (MYEG),4.31,1.43667
2925,Cycle Carriage Bintang Bhd (CYCB),4.28,2.14
5056,Engtex Group Bhd (ETEX),4.1,1.36667
1996,Kretam Holdings Bhd (KREK),4.04,2.02
5009,White Horse Bhd (WHSE),4,4
0151,Kelington Group Bhd (KELG),3.98,1.32667
149,Fibon Bhd (FIBN),3.98,1.99
1503,GuocoLand (Malaysia) Bhd (GUOL),3.93,1.965
5202,MSM Malaysia Holdings Bhd (MSMH),3.88,3.88
5190,Benalec Holdings Bhd (BENL),3.77,1.25667
0024,JAG Bhd (JAGB),3.66,1.83
3522,Kian Joo Can Factory Bhd (KJCS),3.66,1.22
5134,Southern Acids (M) Bhd (SOUS),3.55,1.18333
3379,Insas Bhd (INSS),3.51,1.17
0012,Three A Resources Bhd (THEA),3.29,1.645
3417,Eastern & Oriental Bhd (ENOB),3.21,1.605
0054,Karyon Industries Bhd (KARY),3.13,1.565
0089,Tex Cycle Technology M Bhd (TXCY),3.12,1.04
2305,AYER Holdings Bhd (AYER),3.1,1.03333
5000,Hume Industries Bhd (HUIN),3.06,1.53
1619,DRB - Hicom Bhd (DRBM),3.02,1.00667
5218,Sapura Energy Bhd (SAEN),2.94,2.94
5047,NPC Resources Bhd (NPCR),2.53,0.506
1163,Allianz Malaysia Bhd (AINM),2.24,0.746667
49,Oceancash Pacific Bhd (OCEA),2.22,1.11
0182,LKL International Bhd (LKLI),2.12,2.12
5098,Malaysia Steel Works KL Bhd (MSWK),2.02,1.01
4383,Jaya Tiasa Holdings Bhd (JTIA),1.88,0.94
5072,Hiap Teck Venture Bhd (HTVE),1.77,0.885
0146,JF Technology BHD (JFTB),1.65,0.825
0127,JHM Consolidation Bhd (JHMC),1.4,0.7
0148,Sunzen Biotech Bhd (SZBB),1.36,1.36
2569,Sungei Bagan Rubber Malaya (SBRK),1.29,0.645
0185,HSS Engineers Bhd (HSSE),1.27,0.635
3921,Mwe Holdings Bhd (MWEM),1.16,1.16
5069,BLD Plantation Bhd (BLDN),1.12,0.373333
2186,Kuchai Develop Bhd (KCDS),1.04,0.52
0050,Systech Bhd (SYST),0.95,0.95
128,Frontken Corporation Bhd (FRKN),0.6,0.6
2453,Kluang Rubber Company Malaya (KLRK),0.54,0.27
0120,VisDynamics Holdings Bhd (VSDY),0.46,0.46
0179,Bioalpha Holdings Bhd (BIOA),0.38,0.38
0101,TMC Life Sciences Bhd (TMCN),0.37,0.185
21,GHL Systems Bhd (GHLS),0.31,0.31
