algorithm,ask,askSize,averageDailyVolume10Day,averageVolume,averageVolume10days,beta,bid,bidSize,circulatingSupply,currency,dayHigh,dayLow,dividendRate,dividendYield,exDividendDate,expireDate,fiftyDayAverage,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiveYearAvgDividendYield,forwardPE,fromCurrency,lastMarket,marketCap,maxAge,maxSupply,navPrice,open,openInterest,payoutRatio,previousClose,priceHint,priceToSalesTrailing12Months,regularMarketDayHigh,regularMarketDayLow,regularMarketOpen,regularMarketPreviousClose,regularMarketVolume,startDate,strikePrice,symbol,totalAssets,tradeable,trailingAnnualDividendRate,trailingAnnualDividendYield,trailingPE,twoHundredDayAverage,volume,volume24Hr,volumeAllCurrencies,yield,ytdReturn
,0.92,0,16723000,12575208,16723000,,0.915,0,,MYR,0.93,0.84,,,-,-,2.6,3.03,0.84,,,,,,1,,,0.895,,,0.9,2,,0.93,0.84,0.895,0.9,55082600,-,,0138.KL,,False,,,,2.5765686,55082600,,,,
,0.71,0,28800,64554,28800,,0.7,0,,MYR,0.71,0.7,,,-,-,0.6,1.45,0.6,,,,,,1,,,0.705,,,0.71,2,,0.71,0.7,0.705,0.71,66200,-,,0146.KL,,False,,,,0.9541584,66200,,,,
,0.54,0,34000,3620,34000,,0.495,0,,MYR,0.54,0.495,,,-,-,0.5,0.725,0.48,,,,,,1,,,0.495,,,0.54,2,,0.54,0.495,0.495,0.54,4100,-,,0149.KL,,False,,,,0.5717822,4100,,,,
,0.51,0,0,36040,0,,0.505,0,,MYR,0.515,0.51,,,-,-,0.515,0.72121,0.47,,,,,,1,,,0.515,,,0.505,2,,0.515,0.51,0.515,0.505,3200,-,,0158.KL,,False,,,,0.5264706,3200,,,,
,2.25,0,10460500,11840878,10460500,,2.24,0,,MYR,2.25,2.2,,,-,-,1.79,3.82,1.66,,,,,,1,,,2.2,,,2.2,2,,2.25,2.2,2.2,2.2,3464500,-,,0166.KL,,False,,,,2.9842157,3464500,,,,
,0.72,0,155800,241066,155800,,0.71,0,,MYR,0.685,0.67,,,-,-,0.665,0.96,0.65,,,,,,1,,,0.67,,,0.67,2,,0.685,0.67,0.67,0.67,27000,-,,0168.KL,,False,,,,0.7569307,27000,,,,
,0.29,0,61000,327012,61000,,0.275,0,,MYR,0.275,0.275,,,-,-,0.27,0.375,0.235,,,,,,1,,,0.275,,,0.28,3,,0.275,0.275,0.275,0.28,50000,-,,0171.KL,,False,,,,0.30009902,50000,,,,
,1.77,0,3928,6319,3928,,1.76,0,,MYR,1.77,1.77,,,-,-,1.858,1.96,1.75,,,,,,1,,,1.77,,,1.76,2,,1.77,1.77,1.77,1.76,3000,-,,0820EA.KL,,False,,,,1.8910985,3000,,,,
,1.14,0,0,22622,0,,1.09,0,,MYR,1.16,1.15,,,-,-,1.1703125,1.23,1.06,,,,,,1,,,1.16,,,1.15,2,,1.16,1.15,1.16,1.15,3100,-,,0821EA.KL,,False,,,,1.1648864,3100,,,,
,1.75,0,16342,10765,16342,,1.73,0,,MYR,1.75,1.75,,,-,-,1.924,2.21,1.74,,,,,,1,,,1.75,,,1.75,2,,1.75,1.75,1.75,1.75,1000,-,,0822EA.KL,,False,,,,1.990074,1000,,,,
,1.155,0,14,105523,14,,1.105,0,,MYR,1.135,1.135,,,-,-,1.1291429,1.19,1.05,,,,,,1,,,1.135,,,1.135,3,,1.135,1.135,1.135,1.135,100,-,,0824EA.KL,,False,,,,1.1432593,100,,,,
,0.0,0,4285,3685,4285,,0.7,0,,MYR,0.796,0.796,,,-,-,0.8233714,0.923,0.795,,,,,,1,,,0.796,,,0.796,3,,0.796,0.796,0.796,0.796,30000,-,,0825EA.KL,,False,,,,0.8583433,30000,,,,
,0.685,0,0,28800,0,,0.675,0,,MYR,0.675,0.67,,,-,-,0.7316667,0.855,0.67,,,,,398825792,1,,,0.67,,,0.67,3,,0.675,0.67,0.67,0.67,4100,-,,1007.KL,,False,0.03,0.044776116,5.720339,0.74530303,4100,,,,
,0.35,0,6200,15584,6200,,0.325,0,,MYR,0.325,0.325,,,-,-,0.315,0.425,0.305,,,,,192034688,1,,,0.325,,,0.325,3,,0.325,0.325,0.325,0.325,1600,-,,1007PA.KL,,False,0.03,0.092307694,2.7542372,0.34818628,1600,,,,
,3.76,0,0,1009300,0,,3.75,0,,MYR,3.77,3.73,,,-,-,4.82,5.12,3.73,,,,,11254986752,1,,,3.74,,,3.74,2,,3.77,3.73,3.74,3.74,497800,-,,1015.KL,,False,0.155,0.04144385,8.660508,4.5828123,497800,,,,
,5.46,0,0,10313450,0,,5.45,0,,MYR,5.47,5.41,,,-,-,7.22,7.36,5.41,,,,,47659573248,1,,,5.41,,,5.4,2,,5.47,5.41,5.41,5.4,5053900,-,,1023.KL,,False,0.14,0.025925925,15.041322,6.7164516,5053900,,,,
,2.84,0,0,0,0,,2.79,0,,MYR,2.84,2.84,,,-,-,3.29,3.3,2.84,,,,,574730752,1,,,2.84,,,2.84,2,,2.84,2.84,2.84,2.84,6000,-,,1058.KL,,False,0.09,0.031690143,18.32258,3.291,6000,,,,
