code,name,yield_sum,yield_mean
7103,Spritzer Bhd (SPTZ),7.25,2.41667
6114,MKH Bhd (METR),7.21,3.605
7137,UMS Holdings Bhd (UMSH),7.17,2.39
7214,A Rank Bhd (ARNK),7.12,3.56
5797,Choo Bee Metal Industries Bhd (CHOO),7.11,2.37
7172,PMB Technology Bhd (PMBT),7.05,3.525
5908,DKSH Holdings Malaysia Berhad (DELM),7.03,2.34333
9326,LB Aluminium Bhd (LBAL),6.94,3.47
5249,IOI Properties Group Bhd (IOIP),6.93,3.465
7082,SYF Resources Bhd (SYFR),6.82,3.41
7202,Classic Scenic Bhd (CSCB),6.8,6.8
5827,Oriental Interest Bhd (OINT),6.74,3.37
7107,Oriental Food Industries Hold (OFIH),6.68,3.34
7016,Chuan Huat Resources Bhd (CHRB),6.59,3.295
5232,Leon Fuat Bhd (LEON),6.57,2.19
5258,BIMB Holdings Bhd (BIMB),6.56,3.28
7029,Master Pack Group Bhd (MSTP),6.56,2.18667
8982,Cepatwawasan Group Bhd (CPWA),6.34,2.11333
5264,Malakoff Corporation Bhd (MALA),6.29,6.29
9261,Gadang Holdings Bhd (GADA),6.27,3.135
5278,Rhone Ma Holdings Bhd (RHON),6.22,6.22
5277,FoundPac Group Bhd (FOUN),6.17,3.085
7285,Tomypak Holdings Bhd (TOMY),6.11,6.11
7033,Kumpulan H & L High-Tech Bhd (KHLH),6.02,3.01
6181,Malton Bhd (MLTO),5.99,2.995
5703,Muhibbah Engineering M Bhd (MUHI),5.89,1.96333
8443,Hil Industries Bhd (HILI),5.84,1.94667
7006,Latitude Tree Holdings Bhd (LTHB),5.83,2.915
6556,Ann Joo Resources Bhd (ANNJ),5.7,5.7
7161,Kerjaya Prospek Group Bhd (KREJ),5.61,1.87
6769,JKG Land Bhd (JKGL),5.5,1.83333
7035,CCK Consolidated Holdings Bhd (CCKH),5.41,1.80333
7048,Atlan Holdings Bhd (ATLA),5.39,5.39
9822,Sam Engineering Equipment (SAEG),5.36,1.78667
5584,Yee Lee Corporation Bhd (YLEE),5.34,1.78
7528,DKLS Industries Bhd (DKLS),5.32,1.77333
7277,Dialog Group Bhd (DIAL),5.3,1.76667
8664,SP Setia Bhd (SETI),5.24,5.24
7222,Imaspro Corporation Bhd (IMSP),5.19,2.595
7579,AWC Bhd (AWCF),4.97,2.485
5227,IGB Real Estate Investment Trust (IGRE),4.93,4.93
8397,Tiong Nam Logistics Holdings Bhd (TNTT),4.92,2.46
5250,7 Eleven Malaysia Holdings Bhd (SEVE),4.91,1.63667
6599,AEON Co (Malaysia) Bhd (AEOM),4.89,1.63
7022,Globetronics Tech Bhd (GNIC),4.89,1.63
6173,Bina Darulaman Bhd (BDBS),4.85,4.85
5355,Daiman Develop Bhd (DAIM),4.84,2.42
65,Excel Force MSC Bhd (EXFM),4.77,2.385
7199,Kein Hing International Bhd (KEHG),4.74,2.37
8877,Ekovest Bhd (EKOV),4.72,2.36
7811,Sapura Industrial Bhd (SAPU),4.71,4.71
9288,Bonia Corporation Bhd (BONI),4.66,2.33
7078,Ahmad Zaki Resources Bhd (AZRB),4.65,2.325
7162,Astino Bhd (ATNO),4.65,1.55
7055,PLB Engineering Bhd (PLBE),4.57,2.285
8605,Federal International Holdings Bhd (FIHB),4.47,2.235
9148,Advanced Packaging Tech (Malaysia) (APTB),4.43,4.43
7095,PIE Industrial Bhd (PIEN),4.3,1.43333
9059,TSH Resources Bhd (TSHR),4.3,1.43333
5269,Al-Salam Real Estate Investment Trust (ALSA),4.22,4.22
7154,Caely Holdings Bhd (CAEY),4.21,1.40333
6203,Khee San Bhd (KHEE),3.93,1.965
7374,Tien Wah Press Holdings Bhd (TWPH),3.87,3.87
7293,Yinson Holdings Bhd (YINS),3.71,1.23667
5665,Southern Steel Bhd (STEE),3.67,1.835
5916,Malaysia Smelting Corporation Bhd (MSCB),3.62,1.81
5533,OCB Bhd (OCBB),3.57,1.785
7099,Atta Global Group Bhd (ATTA),3.57,3.57
8761,Brem Holding Bhd (BREM),3.49,1.745
6963,VS Industry Bhd (VSID),3.47,3.47
8834,Ireka Corporation Bhd (IRKA),3.42,3.42
5223,Mentiga Corporation Bhd (MENT),3.41,1.705
5252,Sasbadi Holdings Bhd (SAHO),3.39,3.39
7088,Poh Huat Resources Holdings (PHUA),3.24,3.24
5275,myNEWS Holdings Bhd (MYNE),3.23,0.646
7083,Analabs Resources Bhd (ANRE),3.19,1.06333
5268,Ikhmas Jaya Group Bhd (IKHM),3.09,1.545
97,ViTrox Corporation Bhd (VTRX),2.97,0.99
7209,Cheetah Holdings Bhd (CETH),2.9,1.45
7111,Weida (M) Bhd (WEID),2.89,1.445
7216,Kawan Food Bhd (KWNF),2.88,0.96
7249,Ewein Bhd (EWEI),2.8,0.933333
9334,KESM Industries Bhd (KESM),2.79,0.93
8079,Lee Swee Kiat Group Bhd (LHTM),2.76,1.38
5245,Caring Pharmacy Group Bhd (CARI),2.64,1.32
9431,Seni Jaya Corporation Bhd (SENI),2.59,1.295
5225,IHH Healthcare Bhd (IHHH),2.54,0.508
5247,Karex (KARE),2.53,1.265
9741,Rohas Tecnic Bhd (ROHA),2.4,1.2
5242,Solid Automotive Bhd (SOIL),2.27,2.27
5226,Gabungan AQRS Bhd (GAQR),2.24,1.12
7004,MCE Holdings Bhd (MCEI),2.19,2.19
7382,Golden Land Bhd (GOLD),2.17,2.17
5267,Xin Hwa Holdings Bhd (XINW),2.17,1.085
7084,QL Resources Bhd (QRES),2.15,0.716667
7189,MB World Group Bhd (MBWO),2.02,2.02
9385,Lay Hong Bhd (LAYH),1.91,0.636667
9865,Suiwah Corporation Bhd (SWAH),1.65,0.825
78,GD Express Carrier Bhd (GDEX),1.6,0.533333
7014,YLI Holdings Bhd (YLIH),1.54,1.54
5606,IGB Bhd (IGBB),1.4,0.7
7168,Prg Holdings Bhd (PRGH),1.2,0.6
9946,Rex Industry Bhd (REXI),1.04,1.04
5239,Titijaya Land Bhd (TITI),0.98,0.49
7174,CAB Cakaran Corporation Bhd (CABC),0.89,0.445
