code,name,yield_sum,yield_mean
7210,Freight Management Holdings (FMHB),25.05,8.35
8621,LPI Capital Bhd (LOND),24.66,8.22
7200,Tek Seng Holdings Bhd (TSHB),22.34,7.44667
7233,Dufu Tech Corp Bhd (DUFU),21.69,7.23
7149,Eng Kah Corporation Bhd (ENGH),21.18,7.06
5246,Westports Holdings Bhd (WPHB),20.89,6.96333
7668,Hai O Enterprise Bhd (HAIO),20.82,6.94
5371,Kim Hin Industry Bhd (KIMH),20.07,6.69
5592,Grand Central Enterprises Bhd (GRAN),19.45,3.89
8494,LBI Capital Bhd (LBIP),19.27,6.42333
9598,Pintaras Jaya Bhd (PINT),18.77,9.385
6718,Crescendo Corporation Bhd (CREC),18.71,6.23667
9571,Mitrajaya Holdings Bhd (MITR),17.96,5.98667
7076,CB Industrial Product Holding (CBIP),17.56,5.85333
9873,Prestar Resources Bhd (PTAR),17.54,5.84667
7229,Favelle Favco Bhd (FVCO),16.9,5.63333
5263,Sunway Construction Group Bhd (SCOG),16.86,5.62
5398,Gamuda Bhd (GAMU),16.84,5.61333
5886,Mintye Industries Bhd (MINT),16.81,3.362
6432,Apollo Food Holdings Bhd (AFHB),16.63,5.54333
7085,LTKM Bhd (LTKM),16.46,5.48667
7140,Oka Corporation Bhd (OKAC),16.4,5.46667
7247,SCGM Bhd (SCGB),16.26,8.13
8583,Mah Sing Group Bhd (MAHS),16.19,5.39667
7148,CCM Duopharma Biotech Bhd (CCMD),16.12,5.37333
6351,Amway (Malaysia) Holdings Bhd (AMWA),16.09,8.045
7167,Johore Tin Bhd (JHTN),16.08,5.36
7087,Magni Tech Industries Bhd (MATE),15.9,5.3
7248,SLP Resources Bhd (SLPB),15.78,5.26
6742,YTL Power International Bhd (YTLP),15.73,5.24333
7060,New Hoong Fatt Holdings Bhd (NHFH),15.64,5.21333
6491,Kumpulan Fima Bhd (KFIM),15.56,5.18667
9172,Formosa Prosonic Industries (FPIB),15.49,5.16333
5347,Tenaga Nasional Bhd (TENA),15.36,5.12
7205,Cocoaland Holdings Bhd (CCLD),15.2,5.06667
5276,Dancomech Holdings Bhd (DNCO),14.77,4.92333
6521,Suria Capital Holdings Bhd (SURI),14.69,4.89667
8311,Pesona Metro Holdings Bhd (PESO),14.6,4.86667
5271,Pecca Group Bhd (PECC),14.44,4.81333
7106,Supermax Corporation Bhd (SUPM),14.21,4.73667
5230,Tune Protect Group Bhd (TUNE),14.18,4.72667
7803,Rubberex Corporation M Bhd (RUMM),14.05,4.68333
7412,SHH Resources Holdings Bhd (SHHR),13.88,6.94
7100,Uchi Technologies Bhd (UCHI),13.87,6.935
5819,Hong Leong Bank Bhd (HLBB),13.6,4.53333
7090,Apex Healthcare Bhd (APER),13.49,4.49667
5401,Tropicana Corporation Bhd (TROP),13.47,4.49
8591,Crest Builder Holdings Bhd (CREH),13.33,4.44333
9997,Pensonic Holdings Bhd (PENS),12.85,6.425
7617,Magna Prima Bhd (MAGN),12.84,6.42
7117,CJ Century Logistics Holdings Bhd (CJCE),12.76,4.25333
9962,Gromutual Bhd (GMUT),12.76,6.38
7052,Padini Holdings Bhd (PDNI),12.73,6.365
6888,Axiata Group Bhd (AXIA),12.47,4.15667
8125,Daibochi Bhd (DAIB),12.26,6.13
7235,Superlon Holdings Bhd (SPLH),11.88,3.96
7113,Top Glove Corporation Bhd (TPGC),11.87,3.95667
6139,Syarikat Takaful Malaysia Bhd (TAKA),11.64,3.88
9296,RCE Capital Berhad (REDI),11.53,3.84333
6399,Astro Malaysia Holdings Bhd (ASTR),11.52,5.76
6262,Innoprise Plantations Bhd (INNO),11.37,5.685
5983,MBM Resources Bhd (MBMR),11.33,3.77667
7201,Progressive Impact Corporation Bhd (PGSV),11.21,3.73667
5273,Chin Hin Group Bhd (CHIU),11.15,5.575
7129,Asia File Corporation Bhd (AFCB),11.04,5.52
7034,Thong Guan Industries Bhd (TGIB),11.02,3.67333
9369,Teo Guan Lee Corporation Bhd (TGLB),10.92,5.46
6939,Fiamma Holdings Bhd (FIAM),10.71,3.57
9792,SEG International Bhd (SEDU),10.56,5.28
5517,Shangri La Hotels Malaysia Bhd (SHGM),10.55,3.51667
6149,Metrod Holdings Bhd (MROD),10.47,3.49
5789,LBS Bina Group Bhd (LBSB),10.47,3.49
5568,APB Resources Bhd (APBS),10.45,5.225
8702,Texchem Resources Bhd (TEXC),10.42,10.42
5878,KPJ Healthcare Bhd (KPJH),10.4,5.2
7757,UPA Corporation Bhd (UPAB),10.26,3.42
6874,KUB Malaysia Bhd (KUBM),10.16,3.38667
7190,Pelangi Publishing Group Bhd (PPGB),10.11,3.37
8966,Prolexus Bhd (PXUS),10.07,3.35667
9423,Chee Wah Corporation Bhd (CWGH),9.72,4.86
7246,Signature International Bhd (SGNA),9.62,4.81
8648,Jasa Kita Bhd (JKBM),9.57,4.785
6238,Hock Seng Lee Bhd (HSLB),9.3,3.1
7323,Ken Holdings Bhd (KENH),9.3,3.1
7155,SKP Resources Bhd (SKPR),9.21,3.07
7091,Unimech Group Bhd (UMEC),9.02,3.00667
7231,Wellcall Holdings Bhd (WCAL),8.98,8.98
5843,Kumpulan Perangsang Selangor (KPSB),8.81,2.93667
7119,DeGem Bhd (DEGM),8.62,2.87333
6645,Lingkaran Trans Kota Holdings Bhd (LTKH),8.57,4.285
9199,Lysaght Galvanized Steel Bhd (LYSA),8.57,2.85667
7207,Success Transformer Corporation Bhd (SCCE),8.55,4.275
5681,Petronas Dagangan Bhd (PETR),8.45,8.45
7203,Wang-Zheng Bhd (WGZH),8.27,2.75667
7227,UMS-Neiken Group Bhd (UMSN),8.19,2.73
6041,Farlim Group (Malaysia) Bhd (FLIM),8.18,4.09
7152,Jaycorp Bhd (JAYC),8.13,8.13
8,Willowglen MSC Bhd (WLOW),8.04,2.68
7133,United U Li Corporation Bhd (UULI),8,4
83,Notion Vtec Bhd (NVTE),7.95,7.95
6483,K N Kenanga Holdings Bhd (KNNK),7.9,3.95
7178,YSP Southeast Asia Holding Bhd (YSPS),7.87,2.62333
7134,PW Consolidated Bhd (PWFC),7.8,3.9
5280,KIP Real Estate Investment Trust (KIPR),7.78,7.78
7153,Kossan Rubber Industries Bhd (KRIB),7.77,2.59
5253,Econpile Holdings Bhd (ECOH),7.69,2.56333
8133,Boustead Heavy Industries (BHIB),7.69,3.845
8419,Pansar Bhd (PANS),7.65,2.55
7245,WZ Satu Bhd (WZRB),7.49,2.49667
8869,Press Metal Bhd (PMET),7.46,3.73
7609,Ajiya Bhd (AJIY),7.42,2.47333
58,JCBNext Berhad Bhd (JCBN),7.32,2.44
