market_cap
482 Million
135 Million
"1,576 Million"
25 Million
"6,223 Million"
73 Million
66 Million
191 Million
81 Million
36 Million
42 Million
231 Million
"3,229 Million"
"3,571 Million"
"4,974 Million"
72 Million
29 Million
820 Million
167 Million
69 Million
"10,861 Million"
"14,999 Million"
40 Million
"1,325 Million"
166 Million
55 Million
129 Million
903 Million
97 Million
"2,244 Million"
499 Million
"12,024 Million"
20 Million
415 Million
436 Million
13 Million
30 Million
376 Million
"1,238 Million"
149 Million
116 Million
38 Million
"1,157 Million"
48 Million
93 Million
203 Million
34 Million
