name,link,last,high,low,change,change_percent,volume
Advance Synergy,https://www.investing.com/equities/advance-synergy-bhd,0.140,0.140,0.140,-0.005,-3.45%,1.95M
Mah Sing,https://www.investing.com/equities/mah-sing-group-bhd,1.180,1.180,1.160,+0.020,+1.72%,1.94M
Comintel Corp,https://www.investing.com/equities/comintel-corporation-bhd,0.150,0.155,0.145,-0.010,-6.25%,1.91M
AMMB,https://www.investing.com/equities/ammb-holdings-bhd,4.070,4.090,4.050,+0.010,+0.25%,1.89M
Edaran Bhd,https://www.investing.com/equities/edaran-bhd,0.625,0.640,0.625,-0.005,-0.79%,1.89M
Xinghe,https://www.investing.com/equities/xinghe-holdings-bhd,0.040,0.040,0.035,+0.005,+14.29%,1.88M
Berjaya Corp,https://www.investing.com/equities/berjaya-corporation-bhd,0.280,0.280,0.275,0.000,0.00%,1.87M
IOI Corp,https://www.investing.com/equities/ioi-corporation-bhd,4.430,4.510,4.410,-0.050,-1.12%,1.85M
WCT,https://www.investing.com/equities/wct-holdings-bhd,0.840,0.845,0.830,-0.005,-0.59%,1.84M
Dagang Nexchange,https://www.investing.com/equities/dagang-nexchange-bhd,0.375,0.385,0.375,-0.005,-1.32%,1.82M
BCM Alliance,https://www.investing.com/equities/bcm-alliance-bhd,0.190,0.195,0.190,-0.005,-2.56%,1.72M
Petronas Gas,https://www.investing.com/equities/petronas-gas-bhd,18.56,18.76,18.50,-0.04,-0.22%,1.71M
Inix Tech,https://www.investing.com/equities/inix-technologies-holdings-bhd,0.085,0.090,0.085,0.000,0.00%,1.71M
Key ASIC,https://www.investing.com/equities/key-asic-bhd,0.200,0.205,0.195,0.000,0.00%,1.69M
Wah Seong Corporation Bhd,https://www.investing.com/equities/wah-seong-corporation-bhd,1.050,1.060,1.000,+0.020,+1.94%,1.69M
Hong Leong Bank,https://www.investing.com/equities/hong-leong-bank-bhd,20.46,20.50,20.42,+0.04,+0.20%,1.64M
iDimension Cons,https://www.investing.com/equities/idimension-consolidated-bhd,0.040,0.040,0.040,0.000,0.00%,1.63M
Eduspec,https://www.investing.com/equities/eduspec-holdings-bhd,0.045,0.045,0.040,+0.005,+12.50%,1.62M
Destini,https://www.investing.com/equities/destini-bhd,0.280,0.280,0.270,0.000,0.00%,1.60M
Luster Industries Bhd,https://www.investing.com/equities/luster-industries-bhd,0.095,0.095,0.095,0.000,0.00%,1.60M
DiGi.Com,https://www.investing.com/equities/digi.com-bhd,4.61,4.66,4.59,-0.03,-0.65%,1.58M
Press Metal Bhd,https://www.investing.com/equities/press-metal-bhd,4.900,4.900,4.830,+0.040,+0.82%,1.58M
Scomi Energy Services Bhd,https://www.investing.com/equities/scomi-energy-services-bhd,0.065,0.065,0.060,0.000,0.00%,1.55M
Malakoff Corporation Bhd,https://www.investing.com/equities/malakoff-corporation-bhd,0.910,0.925,0.890,+0.010,+1.11%,1.53M
Ekovest,https://www.investing.com/equities/ekovest-bhd,0.650,0.655,0.640,0.000,0.00%,1.50M
Barakah Offshore Petroleum,https://www.investing.com/equities/barakah-offshore-petroleum-bhd,0.130,0.135,0.130,-0.005,-3.70%,1.50M
Notion Vtec,https://www.investing.com/equities/notion-vtec-bhd,0.645,0.655,0.640,-0.010,-1.53%,1.47M
GDB,https://www.investing.com/equities/gdb,0.355,0.365,0.350,+0.005,+1.43%,1.46M
Euro,https://www.investing.com/equities/euro-holdings-bhd,0.165,0.170,0.165,0.000,0.00%,1.44M
SKP Resources Bhd,https://www.investing.com/equities/skp-resources-bhd,1.310,1.310,1.290,0.000,0.00%,1.44M
Serba Dinamik,https://www.investing.com/equities/serba-dinamik-holdings-bhd,3.790,3.830,3.780,+0.010,+0.26%,1.43M
IGB REIT,https://www.investing.com/equities/igb-real-estate-investment-trust,1.720,1.730,1.720,0.000,0.00%,1.41M
PeterLabs,https://www.investing.com/equities/peterlabs-holdings-bhd,0.295,0.310,0.295,0.000,0.00%,1.41M
JHM Consolidation Bhd,https://www.investing.com/equities/jhm-consolidation-bhd,1.170,1.200,1.150,-0.010,-0.85%,1.37M
NWP Bhd,https://www.investing.com/equities/nwp-holdings-bhd,0.100,0.105,0.090,+0.005,+5.26%,1.37M
Evergreen Fibreboard,https://www.investing.com/equities/evergreen-fibreboard-bhd,0.535,0.550,0.535,-0.005,-0.93%,1.34M
OPCOM,https://www.investing.com/equities/opcom-holdings-bhd,0.810,0.830,0.805,0.000,0.00%,1.34M
