code,name,yield_sum,yield_mean,url
5100,BP Plastics Holding Bhd (BPPL),20.27,20.27,https://www.investing.com/equities/bp-plastics-holding-bhd
5132,Deleum Bhd (DLEU),18.84,9.42,https://www.investing.com/equities/deleum-bhd
0099,Scicom MSC Bhd (SCCM),18.56,18.56,https://www.investing.com/equities/scicom-msc-bhd
7152,Jaycorp Bhd (JAYC),18.55,18.55,https://www.investing.com/equities/jaycorp-bhd
7231,Wellcall Holdings Bhd (WCAL),16.71,16.71,https://www.investing.com/equities/wellcall-holdings-bhd
7129,Asia File Corporation Bhd (AFCB),16.65,16.65,https://www.investing.com/equities/asia-file-corporation-bhd
0158,SCC Holdings Bhd (SCCH),16.56,16.56,https://www.investing.com/equities/scc-holdings-bhd
5032,Bintulu Port Holdings Bhd (BPOT),15.06,15.06,https://www.investing.com/equities/bintulu-port-holdings-bhd
7285,Tomypak Holdings Bhd (TOMY),13.01,13.01,https://www.investing.com/equities/tomypak-holdings-bhd
5021,AYS Ventures Bhd (AYSV),12.58,12.58,https://www.investing.com/equities/ays-ventures-bhd
7100,Uchi Technologies Bhd (UCHI),12.47,12.47,https://www.investing.com/equities/uchi-technologies-bhd
3379PA,Insas Bhd Pref (INSS_p),12.47,12.47,https://www.investing.com/equities/insas-bhd-pref
5568,APB Resources Bhd (APBS),12.41,12.41,https://www.investing.com/equities/apb-resources-bhd
8702,Texchem Resources Bhd (TEXC),12.35,12.35,https://www.investing.com/equities/texchem-resources-bhd
1155,Malayan Banking Bhd (MBBM),12.31,12.31,https://www.investing.com/equities/malayan-banking-bhd
9598,Pintaras Jaya Bhd (PINT),12.05,12.05,https://www.investing.com/equities/pintaras-jaya-bhd
7134,PW Consolidated Bhd (PWFC),11.74,11.74,https://www.investing.com/equities/pw-consolidated-bhd
5107,IQ Group Holdings Bhd (IQGH),11.58,11.58,https://www.investing.com/equities/iq-group-holdings-bhd
5024,Hup Seng Industries Bhd (HSIB),11.54,11.54,https://www.investing.com/equities/hup-seng-industries-bhd
5112,TH Plantations Bhd (THPB),11.4,11.4,https://www.investing.com/equities/th-plantations-bhd
7107,Oriental Food Industries Hold (OFIH),11.27,11.27,https://www.investing.com/equities/oriental-food-industries-hold
9148,Advanced Packaging Tech (Malaysia) (APTB),11.2,11.2,https://www.investing.com/equities/advanced-packaging-tech-(m)
6963,VS Industry Bhd (VSID),11.09,11.09,https://www.investing.com/equities/vs-industry-bhd
5094,CSC Steel Holdings Bhd (CSTH),11.08,11.08,https://www.investing.com/equities/csc-steel-holdings-bhd
1724,Paramount Corporation Bhd (PRMS),10.76,10.76,https://www.investing.com/equities/paramount-corporation-bhd
5062,Hua Yang Bhd (HUAY),10.66,10.66,https://www.investing.com/equities/hua-yang-bhd
7133,United U Li Corporation Bhd (UULI),10.63,10.63,https://www.investing.com/equities/united-u-li-corporation
5147,Samchem Holdings Bhd (SAHB),10.56,10.56,https://www.investing.com/equities/samchem-holdings-bhd
5005,Unisem M Bhd (UNSM),10.55,10.55,https://www.investing.com/equities/unisem-m-bhd
5125,Pantech Group Holdings Bhd (PNTE),10.48,10.48,https://www.investing.com/equities/pantech-group-holdings-bhd
5202,MSM Malaysia Holdings Bhd (MSMH),10.48,10.48,https://www.investing.com/equities/msm-malaysia-holdings-bhd
5159,Yoong Onn Corporation Bhd (YGON),10.39,10.39,https://www.investing.com/equities/yoong-onn-corporation-bhd
6173,Bina Darulaman Bhd (BDBS),10.23,10.23,https://www.investing.com/equities/bina-darulaman-bhd
5007,Chin Well Holdings Bhd (CWHB),10.22,10.22,https://www.investing.com/equities/chin-well-holdings-bhd
