symbol,name,code
CBIP,CB INDUSTRIAL PRODUCT HOLDING BHD,7076
CCB,CYCLE & CARRIAGE BINTANG BHD,2925
CCK,CCK CONSOLIDATED HOLDINGS BHD,7035
CCM,CHEMICAL CO OF MALAYSIA BHD,2879
CCMDBIO,CCM DUOPHARMA BIOTECH BHD,7148
CENSOF,CENSOF HOLDINGS BHD,5195
CEPAT,CEPATWAWASAN GROUP BHD,8982
CEPCO,CONCRETE ENGINEERING PRODUCTS,8435
CFM,COMPUTER FORMS (MALAYSIA) BHD,8044
CHEETAH,CHEETAH HOLDINGS BHD,7209
CHHB,COUNTRY HEIGHTS HOLDINGS BHD,5738
CHINHIN,CHIN HIN GROUP BHD,5273
CHINTEK,CHIN TECK PLANTATIONS BHD,1929
CHINWEL,CHIN WELL HOLDINGS BHD,5007
CHOOBEE,CHOO BEE METAL INDUSTRIES BHD,5797
CHUAN,CHUAN HUAT RESOURCES BHD,7016
CICB,CENTRAL INDUSTRIAL CORP BHD,8052
CIHLDG,CI HOLDINGS BHD,2828
CIMB,CIMB GROUP HOLDINGS BHD,1023
CJCEN,CENTURY LOGISTICS HOLDINGS BHD,7117
CLIQ,CLIQ ENERGY BHD,5234
CME,CME GROUP BHD,7018
CMMT,CAPITALAND MALAYSIA MALL TRUST,5180
CMSB,CAHYA MATA SARAWAK BHD,2852
CNASIA,CN ASIA CORP BHD,7986
CNI,CNI HOLDINGS BHD,5104
CNOUHUA,CHINA OUHUA WINERY HOLDINGS LTD,5188
COASTAL,COASTAL CONTRACTS BHD,5071
COCOLND,COCOALAND HOLDINGS BHD,7205
COMCORP,COMINTEL CORP BHD,7195
COMFORT,COMFORT GLOVES BHD,2127
COMPLET,COMPLETE LOGISTIC SERVICES BHD,5136
COMPUGT,COMPUGATES HOLDINGS BHD,5037
CONNECT,CONNECTCOUNTY HOLDINGS BHD,0102
CRESBLD,CREST BUILDER HOLDINGS BHD,8591
CRESNDO,CRESCENDO CORP BHD,6718
CSCENIC,CLASSIC SCENIC BHD,7202
CSCSTEL,CSC STEEL HOLDINGS BHD,5094
CSL,CHINA STATIONERY LTD,5214
CUSCAPI,CUSCAPI BHD,0051
CVIEW,COUNTRY VIEW BHD,5049
CWG,CWG HOLDINGS BHD,9423
CYL,CYL CORP BHD,7157
CYMAO,CYMAO HOLDINGS BHD,5082
CYPARK,CYPARK RESOURCES BHD,5184
D&O,D&O GREEN TECHNOLOGIES BHD,7204
DAIBOCI,DAIBOCHI PLASTIC & PACKAGING INDUSTRY BHD,8125
DAIMAN,DAIMAN DEVELOPMENT BHD,5355
DANCO,DANCOMECH HOLDINGS BHD,5276
DATAPRP,DATAPREP HOLDINGS BHD,8338
DAYA,DAYA MATERIALS BHD,0091
DAYANG,DAYANG ENTERPRISE HOLDINGS BHD,5141
DBE,D B E GURNEY RESOURCES BHD,7179
DBHD,DAMANSARA REALTY BHD,3484
DEGEM,DEGEM BHD,7119
DELEUM,DELEUM BHD,5132
DESTINI,DESTINI BHD,7212
DGB,DGB ASIA BHD,0152
DGSB,DIVERSIFIED GATEWAY SOLUTIONS BHD,0131
DIALOG,DIALOG GROUP BHD,7277
DIGI,DIGI.COM BHD,6947
DIGISTA,DIGISTAR CORPORATION BHD,0029
DKLS,DKLS INDUSTRIES BHD,7528
DKSH,DKSH HOLDINGS MALAYSIA BHD,5908
DLADY,DUTCH LADY MILK INDUSTRIES BHD,3026
DNEX,DAGANG NEXCHANGE BHD,4456
DNONCE,D'NONCE TECHNOLOGY BHD,7114
DOLMITE,DOLOMITE CORPORATION BHD,5835
DOLPHIN,DOLPHIN INTERNATIONAL BHD,5265
DOMINAN,DOMINANT ENTERPRISE BHD,7169
DPS,DPS RESOURCES BHD,7198
DRBHCOM,DRB-HICOM BHD,1619
DSONIC,DATASONIC GROUP BHD,5216
DUFU,DUFU TECHNOLOGY CORP BHD,7233
DUTALND,DUTALAND BHD,3948
E&O,EASTERN & ORIENTAL BHD,3417
