code,name,url
7155,SKP Resources Bhd (SKPR),https://www.investing.com/equities/skp-resources-bhd-dividends
5279,Serba Dinamik Holdings Bhd (SERB),https://www.investing.com/equities/serba-dinamik-holdings-bhd-dividends
5227,IGB Real Estate Investment Trust (IGRE),https://www.investing.com/equities/igb-real-estate-investment-trust-dividends
0171,PeterLabs Holdings Bhd (PLHB),https://www.investing.com/equities/peterlabs-holdings-bhd-dividends
0127,JHM Consolidation Bhd (JHMC),https://www.investing.com/equities/jhm-consolidation-bhd-dividends
5101,Evergreen Fibreboard Bhd (EVGN),https://www.investing.com/equities/evergreen-fibreboard-bhd-dividends
35,OPCOM Holdings Bhd (OPCM),https://www.investing.com/equities/opcom-holdings-bhd-dividends
0172,OCK Group Bhd (OCKG),https://www.investing.com/equities/ock-group-bhd-dividends
5056,Engtex Group Bhd (ETEX),https://www.investing.com/equities/engtex-group-bhd-dividends
5216,Datasonic Group Bhd (DSON),https://www.investing.com/equities/datasonic-group-bhd-dividends
5576,Minho M Bhd (MNHO),https://www.investing.com/equities/minho-m-bhd-dividends
7100,Uchi Technologies Bhd (UCHI),https://www.investing.com/equities/uchi-technologies-bhd-dividends
1368,Faber Group Bhd (UEME),https://www.investing.com/equities/faber-group-bhd-dividends
5205,Eversendai Corporation Bhd (ESCB),https://www.investing.com/equities/eversendai-corporation-bhd-dividends
2879,Chemical Company of Malaysia (CLMS),https://www.investing.com/equities/chemical-company-of-malaysia-dividends
8893,M K Land Holdings Bhd (MKLH),https://www.investing.com/equities/m-k-land-holdings-bhd-dividends
7285,Tomypak Holdings Bhd (TOMY),https://www.investing.com/equities/tomypak-holdings-bhd-dividends
2054,TDM Bhd (TDMS),https://www.investing.com/equities/tdm-bhd-dividends
0179,Bioalpha Holdings Bhd (BIOA),https://www.investing.com/equities/bioalpha-holdings-bhd-dividends
3816,MISC Bhd (MISC),https://www.investing.com/equities/misc-bhd-dividends
6399,Astro Malaysia Holdings Bhd (ASTR),https://www.investing.com/equities/astro-malaysia-holdings-bhd-dividends
7084,QL Resources Bhd (QRES),https://www.investing.com/equities/ql-resources-bhd-dividends
5209,Gas Malaysia Bhd (GASM),https://www.investing.com/equities/gas-malaysia-bhd-dividends
7047,Fajarbaru Builder Group Bhd (FAJA),https://www.investing.com/equities/fajarbaru-builder-group-bhd-dividends
2445,Kuala Lumpur Kepong Bhd (KLKK),https://www.investing.com/equities/kuala-lumpur-kepong-bhd-dividends
5263,Sunway Construction Group Bhd (SCOG),https://www.investing.com/equities/sunway-construction-group-bhd-dividends
5222,Felda Global Ventures Holdings Bhd (FGVH),https://www.investing.com/equities/felda-global-ventures-holdings-bhd-dividends
6483,K N Kenanga Holdings Bhd (KNNK),https://www.investing.com/equities/k-n-kenanga-holdings-bhd-dividends
7111,Weida (M) Bhd (WEID),https://www.investing.com/equities/weida-m-bhd-dividends
1818,Bursa Malaysia Bhd (BMYS),https://www.investing.com/equities/bursa-malaysia-bhd-dividends
0037,RGB International Bhd (RGBI),https://www.investing.com/equities/rgb-international-bhd-dividends
8524,Taliworks Corporation Bhd (TWRK),https://www.investing.com/equities/taliworks-corporation-bhd-dividends
5200,UOA Development Bhd (UOAD),https://www.investing.com/equities/uoa-development-bhd-dividends
5041,PBA Holdings Bhd (PBAH),https://www.investing.com/equities/pba-holdings-bhd-dividends
3662,Malayan Flour Mills Bhd (MFMS),https://www.investing.com/equities/malayan-flour-mills-bhd-dividends
7117,CJ Century Logistics Holdings Bhd (CJCE),https://www.investing.com/equities/century-logistics-holdings-bhd-dividends
7148,CCM Duopharma Biotech Bhd (CCMD),https://www.investing.com/equities/ccm-duopharma-biotech-bhd-dividends
7222,Imaspro Corporation Bhd (IMSP),https://www.investing.com/equities/imaspro-corporation-bhd-dividends
8567,Salcon Engineering Berhad (SLCN),https://www.investing.com/equities/salcon-bhd-dividends
7173,Toyo Ink Group Bhd (TOYG),https://www.investing.com/equities/toyo-ink-group-bhd-dividends
7153,Kossan Rubber Industries Bhd (KRIB),https://www.investing.com/equities/kossan-rubber-industries-bhd-dividends
5226,Gabungan AQRS Bhd (GAQR),https://www.investing.com/equities/gabungan-aqrs-bhd-dividends
8664,SP Setia Bhd (SETI),https://www.investing.com/equities/sp-setia-bhd-dividends
